IMDB-ID,originalTitle,startYear,genres,documentLength
tt0047577,This Island Earth,1955,Horror Mystery Sci-Fi,6251
tt0047590,Tobor the Great,1954,Sci-Fi,6084
tt0047630,Ulisse,1954,Adventure Fantasy History,9061
tt0047647,Vera Cruz,1954,Adventure Western,5916
tt0047844,At Gunpoint,1955,Western,6377
tt0047889,Blood Alley,1955,Action Adventure,6454
tt0047930,Cesta do praveku,1955,Adventure Animation Family,4557
tt0047947,Conquest of Space,1955,Sci-Fi,13406
tt0047960,Creature with the Atom Brain,1955,Crime Horror Sci-Fi,7520
tt0047966,Cult of the Cobra,1955,Fantasy Horror,7492
tt0047969,Daddy Long Legs,1955,Musical Romance,11135
tt0048021,Du rififi chez les hommes,1955,Crime Thriller,8412
tt0048055,The Far Country,1954,Romance Western,9761
tt0048056,The Far Horizons,1955,History Western,7104
tt0048078,Five Guns West,1955,Western,7086
tt0048090,Fort Yuma,1955,Western,4276
tt0048124,The Glass Slipper,1955,Musical Romance,6809
tt0048127,Gojira no gyakushû,1955,Action Adventure Family,3274
tt0048204,The Indian Fighter,1955,Western,5793
tt0048215,It Came from Beneath the Sea,1955,Horror Sci-Fi,7562
tt0048289,A Lawless Street,1955,Western,6752
tt0048301,A Life in the Balance,1955,Crime Mystery Thriller,6753
tt0048310,The Lone Ranger,1956,Adventure Western,7936
tt0048336,A Man Alone,1955,Romance Western,5737
tt0048339,Man with the Gun,1955,Western,9089
tt0048340,Man Without a Star,1955,Western,7990
tt0048342,The Man from Laramie,1955,Western,10303
tt0048441,Oh... Rosalinda!!,1955,Musical,5531
tt0048442,El ojo de cristal,1956,Crime,9271
tt0048535,Rage at Dawn,1955,Action Adventure Crime,7267
tt0048554,Revenge of the Creature,1955,Horror Sci-Fi,5698
tt0048570,Run for Cover,1955,Western,8493
tt0048665,Strange Lady in Town,1955,Western,12657
tt0048690,Tall Man Riding,1955,Western,6988
tt0048691,The Tall Men,1955,Western,10196
tt0048696,Tarantula,1955,Horror Sci-Fi,6812
tt0048703,Ten Wanted Men,1955,Romance Western,6737
tt0048719,Three for the Show,1955,Musical,8096
tt0048728,To Catch a Thief,1955,Mystery Romance Thriller,10262
tt0048744,The Treasure of Pancho Villa,1955,Romance War Western,7034
tt0048789,The Violent Men,1954,Western,9636
tt0048805,White Feather,1955,History Western,6047
tt0048806,Wichita,1955,Romance Western,5909
tt0048919,23 Paces to Baker Street,1956,Crime Mystery Thriller,10820
tt0048976,Backlash,1956,Mystery Romance Western,7504
tt0048991,The Beast with a Million Eyes,1955,Horror Sci-Fi,6216
tt0049028,The Brain Machine,1955,Crime Thriller,9841
tt0049041,C.I.D.,1956,Action Crime Musical,6394
tt0049051,Canyon River,1956,Western,8378
tt0049072,Chori Chori,1956,Musical Romance,9910
tt0049086,Comanche,1956,Action History Romance,6168
tt0049103,The Creature Walks Among Us,1956,Horror Sci-Fi,4914
tt0049128,Day the World Ended,1955,Horror Sci-Fi,6199
tt0049169,Earth vs. the Flying Saucers,1956,Action Sci-Fi,14467
tt0049223,Forbidden Planet,1956,Action Adventure Sci-Fi,9193
tt0049279,The Great Locomotive Chase,1956,Action Adventure Family,8230
tt0049286,Gun the Man Down,1956,Western,4164
tt0049299,Die Heinzelmännchen,1956,Family Fantasy,7520
tt0049391,Jusqu'au dernier,1957,Thriller,7501
tt0049403,Kentucky Rifle,1955,Western,7364
tt0049429,I vampiri,1957,Horror,6229
tt0049431,The Last Frontier,1955,History Romance Western,7497
tt0049501,Michel Strogoff,1956,Adventure History War,8048
tt0049515,Mohawk,1956,Adventure Romance,6293
tt0049516,The Mole People,1956,Adventure Fantasy Horror,5028
tt0049639,The Proud Ones,1956,Western,14969
tt0049646,The Quatermass Xperiment,1955,Horror Sci-Fi,8053
tt0049647,"Quincannon, Frontier Scout",1956,Action Romance Western,6854
tt0049653,The Rainmaker,1956,Romance Western,15107
tt0049667,Red Sundown,1956,Western,7192
tt0049706,Safari,1956,Adventure,6221
tt0049743,7 Men from Now,1956,Action Western,4632
tt0049755,Showdown at Abilene,1956,Romance Western,5450
tt0049793,Star in the Dust,1956,Western,6351
tt0049794,Starik Khottabych,1957,Family Fantasy,5698
tt0049828,Ori okeanis saidumloeba,1957,Adventure Crime Mystery,5842
tt0049849,Three Violent People,1956,Western,8452
tt0049900,Uchûjin Tôkyô ni arawaru,1956,Sci-Fi,4482
tt0049917,Vesna na Zarechnoy ulitse,1956,Romance,6774
tt0049944,The Werewolf,1956,Horror Sci-Fi,7387
tt0049964,World Without End,1956,Adventure Romance Sci-Fi,8070
tt0049967,X the Unknown,1956,Horror Sci-Fi,6048
tt0050084,20 Million Miles to Earth,1957,Fantasy Sci-Fi,5249
tt0050085,The 27th Day,1957,Sci-Fi,7378
tt0050095,The Abominable Snowman,1957,Adventure Horror,9532
tt0050147,Attack of the Crab Monsters,1957,Horror Sci-Fi,5915
tt0050177,Beginning of the End,1957,Horror Sci-Fi,7143
tt0050197,The Black Scorpion,1957,Horror Sci-Fi,7316
tt0050201,Blood of Dracula,1957,Horror,8037
tt0050251,Chikyû Bôeigun,1957,Action Family Sci-Fi,3202
tt0050280,The Curse of Frankenstein,1957,Horror Sci-Fi Thriller,6113
tt0050294,The Deadly Mantis,1957,Horror Sci-Fi Thriller,5991
tt0050296,Decision at Sundown,1957,Romance Western,7877
tt0050336,Dragoon Wells Massacre,1957,Western,4332
tt0050393,Fiend Without a Face,1958,Horror Sci-Fi,6773
tt0050407,Forty Guns,1957,Romance Western,6715
tt0050414,From Hell It Came,1957,Horror Sci-Fi,6693
tt0050432,The Giant Claw,1957,Fantasy Horror Sci-Fi,7498
tt0050470,The Guns of Fort Petticoat,1957,Action Romance War,6534
tt0050480,Half Human: The Story of the Abominable Snowman,1958,Horror Sci-Fi,3119
tt0050539,The Incredible Shrinking Man,1957,Horror Sci-Fi,5246
tt0050565,Joe Dakota,1957,Romance Western,7911
tt0050604,Konyok-Gorbunok,1947,Animation Family Fantasy,2115
tt0050622,The Land Unknown,1957,Adventure Fantasy Sci-Fi,4650
tt0050665,Madhumati,1958,Musical Mystery Romance,5523
tt0050672,La maldición de la momia azteca,1957,Horror,3757
tt0050718,La momia azteca,1957,Horror,4182
tt0050722,The Monster That Challenged the World,1957,Horror Sci-Fi,7762
tt0050766,Night of the Demon,1957,Fantasy Horror Mystery,9422
tt0050794,Ognennye vyorsty,1957,Adventure History War,3579
tt0050837,Perri,1957,Adventure Family Fantasy,4670
