params,mean_test_jaccard_sim,rank_test_jaccard_sim,mean_test_f1_micro,rank_test_f1_micro,mean_test_f1_macro,rank_test_f1_macro,mean_test_f1_weighted,rank_test_f1_weighted,mean_test_f1_samples,rank_test_f1_samples,mean_test_hamming_loss,rank_test_hamming_loss,mean_test_accuracy_percentage,rank_test_accuracy_percentage,mean_test_accuracy_number,rank_test_accuracy_number
"{'classifier__C': 1000000.0, 'classifier__class_weight': 'balanced', 'classifier__decision_function_shape': 'ovr', 'classifier__gamma': 1e-07}",0.418703703703704,205,0.530515949297848,203,0.438594053417247,49,0.541759140828399,151,0.52882261208577,203,0.122394220846233,155,0.128070175438597,517,109.5,517
"{'classifier__C': 1000000.0, 'classifier__class_weight': 'balanced', 'classifier__decision_function_shape': 'ovr', 'classifier__gamma': 1e-06}",0.441298245614035,187,0.546372042162387,183,0.442488978698042,23,0.552121720660106,61,0.549134502923977,187,0.115438596491228,171,0.152514619883041,503,130.4,503
"{'classifier__C': 1000000.0, 'classifier__class_weight': 'balanced', 'classifier__decision_function_shape': 'ovr', 'classifier__gamma': 1e-05}",0.453538011695906,167,0.554763447285787,69,0.444996588935238,13,0.556967683217239,19,0.559610136452242,167,0.111792225662195,443,0.167836257309942,231,143.5,231
"{'classifier__C': 1000000.0, 'classifier__class_weight': 'balanced', 'classifier__decision_function_shape': 'ovr', 'classifier__gamma': 0.0001}",0.465922027290448,101,0.559615124764152,23,0.441256057565748,39,0.557421645894277,13,0.569844054580897,53,0.108056415548676,459,0.185730994152047,217,158.8,217
"{'classifier__C': 1000000.0, 'classifier__class_weight': 'balanced', 'classifier__decision_function_shape': 'ovr', 'classifier__gamma': 0.001}",0.468463937621832,91,0.558219052499807,49,0.437822332701297,53,0.551761410793616,65,0.569672514619883,55,0.105208118335053,521,0.196374269005848,161,167.9,161
"{'classifier__C': 1000000.0, 'classifier__class_weight': 'balanced', 'classifier__decision_function_shape': 'ovr', 'classifier__gamma': 0.01}",0.464062378167641,109,0.552970289257885,97,0.431083076818552,125,0.544063314860147,111,0.564393762183236,115,0.105331957344341,493,0.193567251461988,165,165.5,165
"{'classifier__C': 1000000.0, 'classifier__class_weight': 'balanced', 'classifier__decision_function_shape': 'ovr', 'classifier__gamma': 0.1}",0.412424951267056,225,0.477700705053626,215,0.256636865466564,259,0.406910570739949,229,0.49024171539961,227,0.103529411764706,571,0.208771929824561,81,178.5,81
"{'classifier__C': 1000000.0, 'classifier__class_weight': 'balanced', 'classifier__decision_function_shape': 'ovr', 'classifier__gamma': 1.0}",0.320458089668616,505,0.362830153114088,299,0.042327419481104,421,0.19335204993463,409,0.387582846003899,505,0.115280357757138,173,0.154736842105263,465,132.3,465
"{'classifier__C': 1000000.0, 'classifier__class_weight': 'balanced', 'classifier__decision_function_shape': 'ovr', 'classifier__gamma': 10.0}",0.320604288499025,293,0.362792020065797,337,0.04206656645529,459,0.192910897145975,447,0.387680311890838,293,0.115252837977296,223,0.155087719298246,253,132.6,253
"{'classifier__C': 1000000.0, 'classifier__class_weight': 'balanced', 'classifier__decision_function_shape': 'ovr', 'classifier__gamma': 100.0}",0.320604288499025,293,0.362792020065797,337,0.04206656645529,459,0.192910897145975,447,0.387680311890838,293,0.115252837977296,223,0.155087719298246,253,132.6,253
"{'classifier__C': 1000000.0, 'classifier__class_weight': 'balanced', 'classifier__decision_function_shape': 'ovr', 'classifier__gamma': 1000.0}",0.320604288499025,293,0.362792020065797,337,0.04206656645529,459,0.192910897145975,447,0.387680311890838,293,0.115252837977296,223,0.155087719298246,253,132.6,253
"{'classifier__C': 10000000.0, 'classifier__class_weight': None, 'classifier__decision_function_shape': 'ovo', 'classifier__gamma': 1e-09}",0.411830409356725,261,0.475617843867973,251,0.273042477546852,249,0.390244962872667,271,0.490187134502924,263,0.101830065359477,625,0.210643274853801,75,180.1,75
"{'classifier__C': 10000000.0, 'classifier__class_weight': None, 'classifier__decision_function_shape': 'ovo', 'classifier__gamma': 1e-08}",0.488927875243665,5,0.566045305638774,5,0.428139542087203,161,0.540502618843612,163,0.580530214424951,7,0.094984520123839,661,0.242923976608187,23,207.7,23
"{'classifier__C': 10000000.0, 'classifier__class_weight': None, 'classifier__decision_function_shape': 'ovo', 'classifier__gamma': 1e-07}",0.47253216374269,45,0.550058319792705,163,0.420717331966827,187,0.535965361031833,183,0.566463937621832,83,0.102167182662539,619,0.22233918128655,41,190.1,41
"{'classifier__C': 10000000.0, 'classifier__class_weight': None, 'classifier__decision_function_shape': 'ovo', 'classifier__gamma': 1e-06}",0.470711500974659,53,0.550216006458942,161,0.426617307875928,173,0.539645587681998,169,0.566335282651072,89,0.103949088407293,567,0.21672514619883,51,185.3,51
"{'classifier__C': 10000000.0, 'classifier__class_weight': None, 'classifier__decision_function_shape': 'ovo', 'classifier__gamma': 1e-05}",0.471442495126706,49,0.553050962742377,95,0.430938599307372,155,0.545734351608519,101,0.568927875243665,63,0.104712762297902,557,0.211578947368421,71,180.9,71
"{'classifier__C': 10000000.0, 'classifier__class_weight': None, 'classifier__decision_function_shape': 'ovo', 'classifier__gamma': 0.0001}",0.463976608187134,137,0.55324221555097,85,0.43517243563968,93,0.548454438945148,75,0.565076023391813,111,0.106928104575163,473,0.192748538011696,195,164.8,195
"{'classifier__C': 10000000.0, 'classifier__class_weight': None, 'classifier__decision_function_shape': 'ovo', 'classifier__gamma': 0.001}",0.469651072124756,61,0.558681907025322,29,0.437429938729334,61,0.552252049373079,43,0.57072514619883,33,0.105029239766082,527,0.197894736842105,139,169.2,139
"{'classifier__C': 10000000.0, 'classifier__class_weight': None, 'classifier__decision_function_shape': 'ovo', 'classifier__gamma': 0.01}",0.464062378167641,109,0.552970289257885,97,0.431083076818552,125,0.544063314860147,111,0.564393762183236,115,0.105331957344341,493,0.193567251461988,165,165.5,165
"{'classifier__C': 10000000.0, 'classifier__class_weight': None, 'classifier__decision_function_shape': 'ovo', 'classifier__gamma': 0.1}",0.412424951267056,225,0.477700705053626,215,0.256636865466564,259,0.406910570739949,229,0.49024171539961,227,0.103529411764706,571,0.208771929824561,81,178.5,81
"{'classifier__C': 10000000.0, 'classifier__class_weight': None, 'classifier__decision_function_shape': 'ovo', 'classifier__gamma': 1.0}",0.320458089668616,505,0.362830153114088,299,0.042327419481104,421,0.19335204993463,409,0.387582846003899,505,0.115280357757138,173,0.154736842105263,465,132.3,465
"{'classifier__C': 10000000.0, 'classifier__class_weight': None, 'classifier__decision_function_shape': 'ovo', 'classifier__gamma': 10.0}",0.320604288499025,293,0.362792020065797,337,0.04206656645529,459,0.192910897145975,447,0.387680311890838,293,0.115252837977296,223,0.155087719298246,253,132.6,253
